,,,,,,,,
Month/Year,2011,2012,2013,2014,2015,2016,2017,2018
January,2.06,2.72,1.39,2.57,2.38,2.58,4.24,3.43
February,4.01,0.96,3.69,2.73,0.31,3.67,2.24,3.82
March,1.85,1.44,2.32,4.53,0.00,2.98,3.27,4.35
April,4.54,3.64,1.75,3.44,0.00,3.13,6.24,5.29
May,3.36,3.52,3.46,2.37,0.00,2.59,3.99,2.16
June,4.78,4.60,11.55,2.67,3.57,1.54,5.05,2.96
July,2.56,3.37,4.62,6.05,2.61,1.36,3.65,3.48
August,9.32,3.41,2.55,1.57,1.84,1.21,3.08,5.43
September,5.18,3.64,3.09,0.50,3.56,1.53,2.88,6.68
October,9.92,3.38,0.79,7.45,1.83,6.22,5.11,5.14
November,4.64,1.14,3.03,5.99,2.38,2.94,1.83,7.59
December,3.80,5.52,4.53,7.27,3.99,2.94,1.97,0.00
